GUID,Result,DateTime,PhoneNumber,ContactName,PreviousLocation,EmploymentPeriod,WorkPerWeek,CanTravel,OneYearExperience,ValidDriverLicense,ReliableTransport,PayRate,DementiaClient,BackgroundCheck,TBTestNegative,CPRCertificate,Experience,ClientType,CaregiverQuality,ClientRefusal,FirstAction,EmailAddress,ExperienceScore,CompassionScore,SafetyScore,ProfessionalismScore,PerformanceSummary,RedFlags,FollowUpQuestions,QuestionsAsked,CallbackDate
,FAIL,"11/4/2025, 01:32:16",4341918129,Magic Johnson,,,yes,yes,yes,,,yes,,,,,,,,,,,,,,,,,,,
,FAIL,"11/1/2025, 00:23:27",86311231871,Agung Sulak Sono,Maryland,"2019, for three months",No,Yes,Yes,Yes,Yes,no,,,,,,,,,,,,,,,,,,,
,PASS,"11/1/2025, 04:11:13",4344141189,Ignacio Federico,,,yes,yes,yes,yes,yes,yes,yes,No concerns or issues reported by caller.,no,no,One year experience working with diabetes.,Seniors with dementia,Taking caregiving training.,"Wait a few minutes, then try again and be nice, talk to the client.",Call 911 immediately.,hello@evo.id,,,,,,,,,
,FAIL,"11/1/2025, 00:38:24",4344141121,Mikhail Ricardo,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FAIL,"11/1/2025, 09:38:14",4341211189,John Lennon,England,1979,yes,yes,yes,yes,yes,yes,no,No concerns shared by candidate.,yes,yes,Companionship,Mostly seniors,Strong,Will buy food and force client to eat their meal.,Call 911,No email address,,,,,,,,,
,PASS,"11/1/2025, 03:08:05",4341211187,James Bon,London,2005,yes,yes,yes,yes,yes,yes,no,Background is classified,yes,yes,Mostly with elderly,Elderly clients needing a lot of hands-on care,"Polite, strong, firm, nice, and honest","I will ask why, and I will try to find the solution.",I will call 911,jamesbond@mik.co.uk,,,,,,,,,
,HANGUP,"11/1/2025, 03:50:46",4341212289,Jack Nicholson,Arkansas,1971,,,,,,,,,,,,,,,,,,,,,,,,,
,FAIL,"11/1/2025, 03:53:57",4344141191,James Jhosono,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HANGUP,"11/1/2025, 04:00:03",4341321189,Mark Marquez,Spain,1985,yes,yes,yes,yes,yes,yes,no,Background is classified,yes,yes,companionship,clients recovering from heartbreak,,,,,,,,,,,,,
,PASS,"11/1/2025, 04:17:12",4341521189,Kurt Russell,California,2017,yes,yes,yes,yes,yes,yes,yes,No concerns shared by caller.,no,yes,Mostly companionship,Mostly seniors,"Honest, strong, and polite",I would push them.,Wait five minutes and then ask them to do it.,kurt@gmail.com,,,,,,,,,
,PASS,"11/1/2025, 04:27:38",4341202189,Charles Bronson,Texas,1987,Yes,Yes,Yes,No,Yes,yes,No,Caller mentioned having some criminal records in the past.,Yes,No,companionship,people with disabilities,"Strong, firm orders and also polite.","I will say okay, then I will try to find a way.","Check their condition first, then call a doctor or 911 if necessary.",No email address,,,,,,,,,
,FAIL,"11/1/2025, 04:25:25",4344141184,Mikael Ricardo,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,
,,"11/1/2025, 04:39:31",4341321216,James Kirk,Enterprise,2025,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,
,,"11/1/2025, 04:43:28",4344141166,Mikhail Ricardo,Baltimore,"about two months, in 2008",,,,,,,,,,,,,,,,,,,,,,,,,
